X,Y
8.141890945,9.366425224
8.548579243,9.55007659
8.93488979,10.19278319
9.017091583,9.423813335
9.355167078,10.62645784
9.470386272,9.465429616
9.805800135,11.06216998
9.923639807,9.532479538
10.19564495,11.54120875
10.37692463,9.580194702
10.61589429,11.99215593
10.83018719,9.641664795
11.01993793,12.45188059
11.28341385,9.725324442
11.44879992,12.87768762
11.73662161,9.820662802
11.80937328,13.35243379
12.18975,9.965051756
12.21876726,13.81090949
12.56236981,14.2792695
12.64289918,10.09659413
12.96727661,14.76146843
13.09602946,10.23981521
13.36322688,15.21971778
13.54916352,10.38070055
13.71632974,15.71232022
14.00227301,10.53676822
14.03718065,16.12393627
14.41877198,16.64089502
14.45535227,10.71152182
14.783282,17.07243127
14.86735035,19.9482988
14.90845609,10.87109311
15.09518158,17.55218465
15.26700057,20.20631918
15.36153913,11.04351097
15.49590945,18.05978076
15.66545957,20.84604459
15.73535145,20.17983762
15.81461272,11.22176819
15.88376107,18.51982199
16.08971444,21.32316318
16.18841953,20.36150206
16.2676693,11.41053625
16.25542744,18.97600646
16.5423307,21.78404526
16.64144568,20.56907285
16.64329047,19.4289969
16.720758,11.57945051
16.9787731,22.23403069
17.06959719,19.88886275
17.11675356,20.76526732
17.17380135,11.77639367
17.41820121,20.36235395
17.39900005,22.69881264
17.58589591,20.95354774
17.62682203,11.98735129
17.80307642,23.13830918
17.96211407,21.22997024
18.07979924,12.22516994
18.17471773,23.6099768
18.45320015,21.61574959
18.53276133,12.47233157
18.55175499,24.08239643
18.90607951,21.91403803
18.86943254,24.54916989
18.98572531,12.71832533
19.19255532,24.98624931
19.35878271,22.32119802
19.43864961,12.98884438
19.53183948,25.44193496
19.81147456,22.73536524
19.89150155,13.30407993
19.88732762,25.88991787
20.26415697,23.15537182
20.22659158,26.35808913
20.34432056,13.63966239
20.58210961,26.78759137
20.71686584,23.5590282
20.79718722,13.94580152
20.96996603,27.24466936
21.1695558,23.97436329
21.25005464,14.25147349
21.34161736,27.71014372
21.62221931,24.40604858
21.70293792,14.54734184
21.71326288,28.17921017
21.93504193,33.59108907
22.05868032,24.84453497
22.08491401,28.64480839
22.15582877,14.83852573
22.31581687,33.81842175
22.44625868,29.11212389
22.49510483,25.30557026
22.60879843,15.08101587
22.83348012,34.32802279
22.74726563,29.57176024
22.93159447,25.72635891
23.06179831,15.30482007
23.07034947,30.03289922
23.2246851,34.71695509
23.36800925,26.19341323
23.43065644,30.44588359
23.51478623,15.53602079
23.62607985,35.07345808
23.73815642,30.92390927
23.78833142,26.59935244
23.96765415,15.84138016
23.99989769,35.50520515
24.1856049,35.24557315
24.05314551,31.38443171
24.16002544,27.03844352
24.42047709,16.17453722
24.40422212,36.22645853
24.41123553,31.89217314
24.55119326,35.45542247
24.54784839,27.51620699
24.73145058,32.30688446
24.8244795,36.67243477
24.87333411,16.4866325
24.95187421,27.9869366
25.00413825,35.71315055
25.02503194,32.8071981
25.19619793,37.09644452
25.32620625,16.7893848
25.33971299,28.45491472
25.33844355,33.24196677
25.45704276,35.99590166
25.56783516,37.57063082
25.59023693,33.73268236
25.74375527,28.91547786
25.77905496,17.1066187
25.91003918,36.22184974
25.88754206,34.11490913
25.93948624,38.03625633
26.16402903,29.35133254
26.15556617,34.58138322
26.23187645,17.44066995
26.27879778,38.47502766
26.36293958,36.50713403
26.38152319,35.02880911
26.58427634,29.80353742
26.59497781,35.50553224
26.68461253,17.82750899
26.6018717,38.94229596
26.85504678,36.57785292
26.78922291,35.95808025
26.8925959,39.38900138
27.00448701,30.27838104
27.13734974,18.2136473
27.16714716,39.82422924
27.23997108,36.84570694
27.05932347,36.41484196
27.44094147,30.72091006
27.45786616,40.27415011
27.59010207,18.59044264
27.72171676,37.31603845
27.82895017,31.08387708
27.78091986,40.75391652
28.04287896,18.95205565
28.08772489,41.26901443
28.17465283,37.57928333
28.22393696,31.53717892
28.36224302,41.72471959
28.49558306,19.35865581
28.62761317,37.82752941
28.6449164,31.95200024
28.63659788,42.28132313
28.94831738,19.74658553
28.94501263,42.71127965
29.08055051,38.08998459
29.0898151,32.36446779
29.11124157,43.13814393
29.40103768,20.14317098
29.32135598,43.6558556
29.53350981,38.33887022
29.54260145,32.72024145
29.52784722,44.14750877
29.7338662,44.60114536
29.85375788,20.53982013
29.98642637,38.61417198
29.99541236,33.06083278
29.92443471,45.08663777
30.10474187,45.5459778
30.30645204,20.95256922
30.30197842,46.03911312
30.43933951,38.89158704
30.28146775,33.05740728
30.50251952,46.54262996
30.75915541,21.35961614
30.71355635,47.03825085
30.89221278,39.19363862
30.95679651,47.49329649
31.21183435,21.78176971
31.16570399,47.98117231
31.34511251,39.47934
31.32527886,48.40108924
31.63216035,22.18534133
31.56456696,48.94853206
31.7980198,39.76036989
31.83091398,49.45080819
32.02001235,22.64514435
32.03426807,49.8579642
32.25087796,40.07176444
32.26128801,50.3155969
32.40787979,23.09540976
32.54108893,50.84198685
32.70373989,40.38082325
32.79574944,23.54431264
32.72174098,51.27011335
32.92820929,51.7539507
33.15660938,40.68521057
33.20427289,23.96451249
33.15408845,52.24949852
33.38009611,52.66563109
33.53434901,24.43872458
33.60944108,41.01295531
33.65459121,53.13556512
33.83272502,24.91898816
33.94528675,53.5999782
34.06225577,41.3512109
34.21837648,25.35445652
34.21976953,54.07753583
34.5150818,41.68245926
34.53974914,25.91139166
34.5281074,54.55500426
34.63438038,27.99402644
34.67572458,54.97663578
34.91212612,26.45506457
34.96790333,42.01648827
34.89760689,55.44064446
35.08776897,27.97761064
35.22224338,26.92447516
35.13967137,55.94001431
35.42060914,42.42203549
35.44503065,27.32954281
35.38180104,56.39909261
35.54113501,27.97513329
35.64016138,56.83396404
35.87324052,42.87357459
36.00852482,27.97813413
35.91464893,57.30856954
36.18902183,57.85402591
36.29347481,43.33381982
36.44787666,27.96426138
36.47969202,58.33410794
36.71377336,43.75435742
36.7541939,58.79985708
36.90122048,27.975513
37.04492648,59.2413799
37.15020006,44.21404516
37.31615415,28.02499586
37.33558829,59.72663949
37.57042362,44.6809233
37.61003688,60.22531612
37.80781805,28.05368479
37.88450386,60.71263844
37.97446742,45.14054316
38.26122738,28.02445021
38.17522784,61.15947507
38.37848376,45.61714207
38.49831357,61.61944477
38.74602391,28.02201562
38.78251247,46.08608992
38.80519462,62.08756311
39.1679665,28.01514653
39.17853946,27.4848651
39.07966563,62.57238749
39.1379529,46.56355275
39.46929851,34.01916945
39.49045917,27.17390722
39.33793857,63.06127296
39.49347711,46.98923994
39.65425333,28.05092192
39.56925772,33.51131488
39.59624458,63.52972068
39.66189047,32.96691237
39.72752918,32.42757536
39.73910929,31.94196925
39.8351494,31.41437673
39.8960456,27.09711554
39.86511942,47.46028823
39.83834496,64.00690099
39.96138039,30.85535283
39.95760951,30.32680009
40.0513533,28.42868544
39.94965917,27.73534725
40.17080273,27.5440964
40.08777682,29.93418434
40.10060508,29.28366388
40.11289827,64.44086457
40.22055704,47.93948517
40.40125724,26.91249796
40.31700589,28.35948565
40.43594168,64.92699459
40.50202241,27.42455128
40.55989099,48.36440271
40.65600395,28.99198474
40.81426407,26.58107702
40.75902476,65.3885993
40.85063945,48.79611541
41.11696137,26.11737301
41.11693394,32.78189796
41.10933884,29.00875595
41.09830388,65.84740635
41.12515896,49.25096442
41.38859337,24.86964259
41.50283657,25.31241818
41.43207132,49.69973503
41.42689612,26.21441343
41.41672868,25.82699519
41.4375765,66.31022663
41.55640938,32.89689998
41.56271238,29.00164604
41.65804682,50.13574237
41.79304559,66.76997674
41.88386688,50.66780945
41.95747812,25.18876246
42.00966222,32.9643772
42.01612864,28.96812927
42.14638307,51.16761924
42.16471777,67.22256913
42.43791619,25.13301553
42.46290702,33.03682528
42.46949094,28.96796171
42.42814868,51.65852542
42.49342552,26.5371764
42.54845402,25.912082
42.53633583,67.7086051
42.62629719,52.13787233
42.69870696,27.40132968
42.71359872,25.34561426
42.87561934,52.59926569
42.77051167,25.05267979
42.91619226,33.08428092
42.93687594,28.97393327
42.92421429,68.15205792
43.07950149,53.00507084
43.15192463,27.49054784
43.27062623,53.42671627
43.36941136,33.17261205
43.37607904,29.05198783
43.31207953,68.60368584
43.49920507,53.79329325
43.62690585,27.66788213
